"filename", "language", "C++", "JSON", "YAML", "Markdown", "Swift", "HTML", "XML", "Dart", "Properties", "Groovy", "comment", "blank", "total"
"e:\Projects\cinemax\lib\bloc\authentication\authentication_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 5, 19
"e:\Projects\cinemax\lib\bloc\authentication\authentication_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 8, 20
"e:\Projects\cinemax\lib\bloc\comments\comment_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 4, 162
"e:\Projects\cinemax\lib\bloc\comments\comment_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 31, 120
"e:\Projects\cinemax\lib\bloc\comments\comment_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 15, 45
"e:\Projects\cinemax\lib\bloc\home\categoryDetail\category_detail_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 30
"e:\Projects\cinemax\lib\bloc\home\categoryDetail\category_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"e:\Projects\cinemax\lib\bloc\home\categoryDetail\category_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 6, 14
"e:\Projects\cinemax\lib\bloc\home\home_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"e:\Projects\cinemax\lib\bloc\home\home_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 6, 36
"e:\Projects\cinemax\lib\bloc\home\homebloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 2, 46
"e:\Projects\cinemax\lib\bloc\language\language_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 4, 31
"e:\Projects\cinemax\lib\bloc\language\language_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 6, 20
"e:\Projects\cinemax\lib\bloc\language\language_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 5, 20
"e:\Projects\cinemax\lib\bloc\movies\movies_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 3, 49
"e:\Projects\cinemax\lib\bloc\movies\movies_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 8, 23
"e:\Projects\cinemax\lib\bloc\movies\movies_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 6, 23
"e:\Projects\cinemax\lib\bloc\news\news_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"e:\Projects\cinemax\lib\bloc\news\news_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"e:\Projects\cinemax\lib\bloc\news\news_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, 15
